Point Mass X,Point Mass Y,Fixed Point 1 X,Fixed Point 1 Y,Fixed Point 2 X,Fixed Point 2 Y,Fixed Point 3 X,Fixed Point 3 Y,Convergence Point,Convergence Time
32,0,89,8,70,79,85,22,2,0.26683902740478516
83,22,5,28,70,5,11,41,1,0.10930323600769043
40,14,74,40,29,69,92,51,2,0.2531394958496094
83,48,20,81,34,5,88,76,2,2.0740697383880615
29,6,29,94,12,55,54,7,2,1.0024974346160889
32,5,73,36,38,51,61,61,0,1.1765098571777344
76,89,57,37,17,22,99,18,0,2.9236717224121094
52,34,97,73,39,96,84,51,2,2.268742322921753
31,24,34,92,78,65,3,92,2,4.47310471534729
40,74,50,49,90,93,86,59,0,0.7336392402648926
26,52,48,1,34,96,93,98,1,6.288097620010376
59,55,96,15,73,11,12,96,1,2.6186635494232178
64,8,93,81,24,47,99,54,2,2.5036256313323975
52,88,35,30,22,14,84,44,2,3.084897041320801
4,70,85,33,44,68,97,25,1,2.578339099884033
5,54,78,100,32,59,42,10,1,0.3153388500213623
60,21,62,56,20,3,37,89,2,2.5790209770202637
34,79,4,56,37,4,65,95,0,2.259209394454956
43,13,25,73,67,80,0,77,0,1.7408857345581055
88,90,98,79,20,72,5,76,0,0.16510844230651855
39,69,79,28,88,60,39,61,2,0.07762742042541504
31,89,95,70,19,4,1,66,1,1.7050361633300781
84,56,69,30,34,29,45,63,1,3.0288381576538086
82,2,38,9,96,93,29,52,0,3.729546308517456
51,72,12,57,90,89,30,66,2,0.2568700313568115
37,82,63,10,16,50,37,99,2,0.23195505142211914
76,69,100,68,78,4,1,93,0,0.30851125717163086
66,63,25,81,70,73,74,80,1,0.0892174243927002
58,57,26,64,5,55,53,54,2,0.052637577056884766
81,47,95,69,4,33,47,4,0,0.3911709785461426
31,82,35,57,7,21,98,48,0,0.2806670665740967
25,15,41,77,18,60,59,86,2,2.873159170150757
93,77,31,93,50,73,67,38,2,2.4473459720611572
69,39,20,84,68,77,39,59,0,2.2159736156463623
57,67,48,78,11,31,34,86,0,0.12979388236999512
6,38,34,75,77,81,93,64,1,5.745126008987427
